gene_name	SRR13389805	SRR13389807	SRR13389809	SRR13389815	SRR13389817	SRR13389818	SRR13389820	SRR13389824	SRR13389834	SRR13389840	SRR13389841	SRR13389849
GUCA1C	5.23014599907226	5.02663321001407	5.10623535344948	3.37061958632573	4.76503292255353	0	5.97173820672514	5.59370451646052	3.85915717954471	3.57123260496572	8.78135580684346	3.56431890090738
CIP2A	10.5020386438029	10.518371868954	10.5319858951117	9.23246180471946	10.4050605589846	8.1832928056525	10.3111574941427	10.4745540920788	10.235241330037	10.2821074288496	7.6975769768114	10.5253386564869
DZIP3	11.6274633425676	11.507044451012	11.3746152658787	10.8705195498065	11.8115120323724	11.0726419895283	10.7862040640502	11.3207092689359	12.4443101783011	12.3529010061908	11.7900524754572	12.0836077239771
CD96	4.93430706838852	4.14370263192856	5.6959064302107	5.12827296520507	4.13646558142648	3.68074213553849	4.83026584977151	4.49759365420543	4.76143762200379	4.81843386005494	2.22930046798498	5.15601003635743
ZBED2	0	1.4622335531632	0	1.43230482475068	1.85561265262946	3.68074213553849	2.69813878552688	2.03006900825023	0	1.35343134921886	2.22930046798498	0
PLCXD2	5.88950402970451	5.90217236205998	5.26523955789892	6.62467960628438	6.32992438180145	6.21870234163924	4.75893190961442	5.8205973973531	7.66374740238789	7.92842868592767	3.2642090889913	6.30327847392727
NECTIN3	11.8316568290919	12.1246779968914	12.2993620748457	10.8945360585364	12.2604750833405	8.18747836633007	12.224784023549	12.1234245849234	10.9032607968235	11.1734782674969	5.96542476560224	11.8231572057197
TAGLN3	3.40170744285921	1.4622335531632	0	4.41854772573248	0	6.06339448413539	1.90489666612064	2.61833415041864	2.67913786296648	0	3.59301867941579	0
TMPRSS7	4.50758764401989	4.90512032458894	4.64850099129842	4.02582410063467	5.45213027731549	0	5.19702673903948	4.79338161350812	3.03673318255022	3.97950573423305	0	4.4313606459277
GCSAM	4.50758764401989	5.72199352630341	6.29633079690172	2.96256769983607	5.30059207302212	3.85925545952279	4.89823824767717	3.49579912299535	4.37971418542864	5.37277717454431	2.22930046798498	5.9203487367989
