NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	106	68		
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	310	290		
BORLAK_LIVER_CANCER_EGF_UP	53	41		
BOSCO_ALLERGEN_INDUCED_TH2_ASSOCIATED_MODULE	150	123		
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	69	37		
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	78	61		
BOSCO_TH1_CYTOTOXIC_MODULE	114	73		
BOUDOUKHA_BOUND_BY_IGF2BP2	108	95		
BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX	17	12		
BOWIE_RESPONSE_TO_TAMOXIFEN	18	11		
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	51	42		
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP	47	44		
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN	15	12		
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP	40	35		
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	40	35		
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	116	107		
BOYAULT_LIVER_CANCER_SUBCLASS_G2	28	27		
BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN	10	7		
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP	53	50		
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN	53	36		
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	190	178		
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN	17	14		
BOYAULT_LIVER_CANCER_SUBCLASS_G56_UP	11	9		
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN	28	24		
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	19	17		
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP	66	60		
BOYERINAS_ONCOFETAL_TARGETS_OF_LET7A1	12	12		
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	32	25		
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_UP	37	35		
BOYLAN_MULTIPLE_MYELOMA_C_DN	60	46		
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	276	215		
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	143	129		
BOYLAN_MULTIPLE_MYELOMA_C_UP	50	43		
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_DN	37	35		
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_UP	27	26		
BOYLAN_MULTIPLE_MYELOMA_D_DN	83	66		
BOYLAN_MULTIPLE_MYELOMA_D_UP	92	90		
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	9	9		
BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	122	78		
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	71	59		
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	82	69		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_DN	42	35		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP	26	23		
BRACHAT_RESPONSE_TO_CISPLATIN	23	16		
BRACHAT_RESPONSE_TO_METHOTREXATE_DN	26	20		
BRACHAT_RESPONSE_TO_METHOTREXATE_UP	24	17		
BRAUNE_GEIST_20_GENE_NOTCH_SIG_BREAST_CANCER	20	19		
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_DN	61	51		
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_UP	65	54		
