NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_ASTHMA	KEGG_ASTHMA		7	-0.4700801	-1.2683281	0.1495327	0.4038929	1.0	1893	tags=43%, list=12%, signal=49%	
PID_ATR_PATHWAY	PID_ATR_PATHWAY		37	-0.2914456	-1.2679894	0.030303031	0.40258512	1.0	3348	tags=49%, list=22%, signal=62%	
WP_ACETYLCHOLINE_SYNTHESIS	WP_ACETYLCHOLINE_SYNTHESIS		5	-0.56452847	-1.2679601	0.22627737	0.40089837	1.0	3127	tags=60%, list=20%, signal=75%	
PID_MYC_PATHWAY	PID_MYC_PATHWAY		22	-0.31970412	-1.2663221	0.16470589	0.40139982	1.0	2785	tags=50%, list=18%, signal=61%	
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY	REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY		12	-0.3980052	-1.2662312	0.14285715	0.3998553	1.0	2488	tags=50%, list=16%, signal=60%	
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX		30	-0.3048183	-1.2634379	0.071428575	0.40206653	1.0	4607	tags=50%, list=30%, signal=71%	
LY_AGING_OLD_DN	LY_AGING_OLD_DN		53	-0.2591192	-1.2629942	0.07692308	0.40103117	1.0	2434	tags=43%, list=16%, signal=51%	
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK	REACTOME_TRANSLESION_SYNTHESIS_BY_POLK		17	-0.37310752	-1.2609916	0.15686275	0.40207395	1.0	2326	tags=41%, list=15%, signal=49%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		54	-0.2506579	-1.2459215	0.06666667	0.42188814	1.0	1445	tags=22%, list=9%, signal=24%	
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX		31	-0.30487478	-1.2419101	0.14893617	0.4260176	1.0	2996	tags=45%, list=20%, signal=56%	
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A		25	-0.31903505	-1.2409503	0.15584415	0.4257156	1.0	2852	tags=48%, list=19%, signal=59%	
KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY		14	-0.38420138	-1.237113	0.19565217	0.4292893	1.0	2221	tags=43%, list=15%, signal=50%	
