NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		69	0.47480837	1.2452633	0.11311311	0.2718583	1.0	4584	tags=41%, list=30%, signal=58%	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_CYAN_UP	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_CYAN_UP		15	0.55669105	1.2451228	0.18721461	0.27201936	1.0	4349	tags=47%, list=28%, signal=65%	
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS		11	0.59147835	1.2450056	0.19008264	0.27213156	1.0	3085	tags=55%, list=20%, signal=68%	
FORTSCHEGGER_PHF8_TARGETS_UP	FORTSCHEGGER_PHF8_TARGETS_UP		234	0.45435303	1.2449992	0.019	0.27206683	1.0	4856	tags=42%, list=32%, signal=61%	
GREGORY_SYNTHETIC_LETHAL_WITH_IMATINIB	GREGORY_SYNTHETIC_LETHAL_WITH_IMATINIB		113	0.460655	1.2445495	0.062062062	0.2727694	1.0	3719	tags=35%, list=24%, signal=45%	
BIOCARTA_IL10_PATHWAY	BIOCARTA_IL10_PATHWAY		11	0.58983254	1.2445154	0.1886121	0.2727487	1.0	4790	tags=64%, list=31%, signal=93%	
DAZARD_RESPONSE_TO_UV_SCC_DN	DAZARD_RESPONSE_TO_UV_SCC_DN		109	0.46374196	1.2443428	0.056	0.2729718	1.0	3822	tags=37%, list=25%, signal=49%	
REACTOME_MIRO_GTPASE_CYCLE	REACTOME_MIRO_GTPASE_CYCLE		8	0.6315233	1.24426	0.20277078	0.2730487	1.0	5417	tags=88%, list=35%, signal=135%	
KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY		21	0.53215003	1.2442265	0.17462039	0.2730284	1.0	2280	tags=38%, list=15%, signal=45%	
WANG_NEOPLASTIC_TRANSFORMATION_BY_CCND1_MYC	WANG_NEOPLASTIC_TRANSFORMATION_BY_CCND1_MYC		14	0.5647858	1.2441636	0.2	0.2730594	1.0	2199	tags=36%, list=14%, signal=42%	
